Title,Link,Description,Publication Date,Category,New_description
Restrictions on Petta-Kannammoola road ,https://www.thehindu.com/news/national/kerala/restrictions-on-petta-kannammoola-road/article68267292.ece,,"Sat, 08 Jun 2024 22:09:08 +0530",Kerala,Restrictions on Petta-Kannammoola road 
CRDA chief inspects beautification works in Amaravati ,https://www.thehindu.com/news/national/andhra-pradesh/crda-chief-inspects-beautification-works-in-amaravati/article68267367.ece,,"Sat, 08 Jun 2024 22:01:20 +0530",Andhra Pradesh,CRDA chief inspects beautification works in Amaravati 
"Zoo’s oriental darters caught in mess of plastic, other rubbish",https://www.thehindu.com/news/national/kerala/zoos-oriental-darters-caught-in-mess-of-plastic-other-rubbish/article68267190.ece,,"Sat, 08 Jun 2024 22:00:45 +0530",Kerala,"Zoo’s oriental darters caught in mess of plastic, other rubbish"
"Devendra Fadnavis rescinds resignation, plans strategy for Assembly polls",https://www.thehindu.com/news/national/maharashtra/devendra-fadnavis-rescinds-resignation-plans-strategy-for-assembly-polls/article68266832.ece,This decision came following a party meeting where State BJP legislators expressed their confidence in him and urged him to continue as their leader. ,"Sat, 08 Jun 2024 21:59:14 +0530",Maharashtra,This decision came following a party meeting where State BJP legislators expressed their confidence in him and urged him to continue as their leader. 
"Things looking up for real estate sector in and around Vijayawada, say experts",https://www.thehindu.com/news/national/andhra-pradesh/things-looking-up-for-real-estate-sector-in-and-around-vijayawada-say-experts/article68266924.ece,"Rise in land and rental prices can be expected, but it will not happen overnight. Visakhapatnam is also going to see some activity as it is one of the growth centres, opines a realtor","Sat, 08 Jun 2024 21:54:27 +0530",Andhra Pradesh,"Rise in land and rental prices can be expected, but it will not happen overnight. Visakhapatnam is also going to see some activity as it is one of the growth centres, opines a realtor"
"With good rain, sowing expected to exceed target in north Karnataka ",https://www.thehindu.com/news/national/karnataka/with-good-rain-sowing-expected-to-exceed-target-in-north-karnataka/article68266289.ece,"Farmers are preparing for sowing red gram, cotton, and chilli in rain-fed areas ","Sat, 08 Jun 2024 21:48:02 +0530",Karnataka,"Farmers are preparing for sowing red gram, cotton, and chilli in rain-fed areas "
Chambers for new Ministers being spruced up at Andhra Pradesh Secretariat,https://www.thehindu.com/news/national/andhra-pradesh/chambers-for-new-ministers-being-spruced-up-at-andhra-pradesh-secretariat/article68267050.ece,Arrangements are also being made for the swearing-in ceremony of Chandrababu Naidu as Chief Minister; authorities are also making arrangements for the conduct of the Legislative Assembly session to enable the MLAs-elect to take oath  ,"Sat, 08 Jun 2024 21:44:20 +0530",Andhra Pradesh,Arrangements are also being made for the swearing-in ceremony of Chandrababu Naidu as Chief Minister; authorities are also making arrangements for the conduct of the Legislative Assembly session to enable the MLAs-elect to take oath  
Telangana spends more on processed food and conveyance,https://www.thehindu.com/news/national/telangana/telangana-spends-more-on-processed-food-and-conveyance/article68266774.ece,"Data shows that the percentage share of a selected food item group as a part of the total food expenditure in rural Telangana was for category beverages and processed foods defined as “jams, pickles, etc”, with a value of 23.2","Sat, 08 Jun 2024 21:38:48 +0530",Telangana,"Data shows that the percentage share of a selected food item group as a part of the total food expenditure in rural Telangana was for category beverages and processed foods defined as “jams, pickles, etc”, with a value of 23.2"
NHAI floats EoI for satellite-based tolling system,https://www.thehindu.com/news/national/nhai-floats-eoi-for-satellite-based-tolling-system/article68264106.ece,"Selected company will have to develop geo-referenced map, toll charging software","Sat, 08 Jun 2024 21:33:49 +0530",India,"Selected company will have to develop geo-referenced map, toll charging software"
DMK MPs urge Nitish Kumar and Chandrababu Naidu to advise Centre against NEET ,https://www.thehindu.com/news/national/tamil-nadu/dmk-mps-urge-nitish-kumar-and-chandrababu-naidu-to-advise-centre-against-neet/article68267045.ece,"States that seek exemption from NEET should be allowed to dispense with the test. We will raise the issue in Parliament, a resolution said","Sat, 08 Jun 2024 21:31:22 +0530",Tamil Nadu,"States that seek exemption from NEET should be allowed to dispense with the test. We will raise the issue in Parliament, a resolution said"
