Title,Link,Description,Publication Date,Category,New_description
Former loco pilot addresses judges as “criminals” | Madras High Court sentences him to six months’ imprisonment    ,https://www.thehindu.com/news/national/tamil-nadu/former-loco-pilot-addresses-judges-as-criminals-madras-high-court-sentences-him-to-six-months-imprisonment/article68286003.ece,Justices M.S. Ramesh and Sunder Mohan hold the former train driver guilty of criminal contempt and imposes the maximum punishment on him ,"Thu, 13 Jun 2024 23:38:51 +0530",Tamil Nadu,Justices M.S. Ramesh and Sunder Mohan hold the former train driver guilty of criminal contempt and imposes the maximum punishment on him 
Four forest department staff die while dousing fire in Uttarakhand ,https://www.thehindu.com/news/national/uttarakhand/four-forest-department-staff-die-while-dousing-fire-in-uttarakhand/article68286440.ece,Chief Minister Pushkar Singh Dhami announces an ex gratia of ₹10 lakh to the families of deceased,"Thu, 13 Jun 2024 23:36:34 +0530",Uttarakhand,Chief Minister Pushkar Singh Dhami announces an ex gratia of ₹10 lakh to the families of deceased
Govt. ITI trainees showcase projects at LEAP entrepreneurs’ summit ,https://www.thehindu.com/news/national/kerala/govt-iti-trainees-showcase-projects-at-leap-entrepreneurs-summit/article68286662.ece,,"Thu, 13 Jun 2024 23:27:23 +0530",Kerala,Govt. ITI trainees showcase projects at LEAP entrepreneurs’ summit 
Universities instructed to provide sufficient time to produce TCs,https://www.thehindu.com/news/national/kerala/universities-instructed-to-provide-sufficient-time-to-produce-tcs/article68286640.ece,,"Thu, 13 Jun 2024 23:24:35 +0530",Kerala,Universities instructed to provide sufficient time to produce TCs
Renukaswamy murder: BJP demands a fair probe ,https://www.thehindu.com/news/cities/bangalore/renukaswamy-murder-bjp-demands-a-fair-probe/article68285623.ece,,"Thu, 13 Jun 2024 23:17:48 +0530",Bengaluru,Renukaswamy murder: BJP demands a fair probe 
HOGR’s Xplore a travel series to redefine food discovery ,https://www.thehindu.com/news/national/karnataka/hogrs-xplore-a-travel-series-to-redefines-food-discovery/article68286696.ece,,"Thu, 13 Jun 2024 23:14:10 +0530",Karnataka,HOGR’s Xplore a travel series to redefine food discovery 
No country can move forward by forgetting the past: Minister,https://www.thehindu.com/news/national/kerala/no-country-can-move-forward-by-forgetting-the-past-minister/article68282552.ece,,"Thu, 13 Jun 2024 23:09:40 +0530",Kerala,No country can move forward by forgetting the past: Minister
BJP terms efforts to arrest BSY as ‘politics of vendetta’,https://www.thehindu.com/news/national/karnataka/bjp-terms-efforts-to-arrest-bsy-as-politics-of-vendetta/article68285775.ece,,"Thu, 13 Jun 2024 23:01:41 +0530",Karnataka,BJP terms efforts to arrest BSY as ‘politics of vendetta’
"BJP, JD (S) leaders will decide on Channapatna bypoll candidate: Nikhil",https://www.thehindu.com/news/national/karnataka/bjp-jd-s-leaders-will-decide-on-channapatna-bypoll-candidate-nikhil/article68286381.ece,,"Thu, 13 Jun 2024 22:57:20 +0530",Karnataka,"BJP, JD (S) leaders will decide on Channapatna bypoll candidate: Nikhil"
Karnataka mulls over 100% reservation for Kannadigas in C and D group jobs in private industries ,https://www.thehindu.com/news/national/karnataka/karnataka-mulls-over-100-job-reservation-for-kannadigas-in-c-and-d-group-jobs-in-private-industries/article68286323.ece,,"Thu, 13 Jun 2024 22:52:51 +0530",Karnataka,Karnataka mulls over 100% reservation for Kannadigas in C and D group jobs in private industries 
Fresh infiltrators in J&K may have played role in attacks,https://www.thehindu.com/news/national/fresh-infiltrators-in-jk-may-have-played-role-in-attacks/article68285955.ece,"Since mid-2021, 26 terror attacks have occurred in Jammu division, pointing to sustained bids to revive militancy in the region","Thu, 13 Jun 2024 22:50:01 +0530",India,"Since mid-2021, 26 terror attacks have occurred in Jammu division, pointing to sustained bids to revive militancy in the region"
Draft guideline values posted for public perusal in Kallakurichi ,https://www.thehindu.com/news/national/tamil-nadu/draft-guideline-values-posted-for-public-perusal-in-kallakurichi/article68284710.ece,,"Thu, 13 Jun 2024 22:48:31 +0530",Tamil Nadu,Draft guideline values posted for public perusal in Kallakurichi 
Shift Saturday training for higher secondary teachers to other days: FHSTA,https://www.thehindu.com/news/national/kerala/shift-saturday-training-for-higher-secondary-teachers-to-other-days-fhsta/article68286550.ece,,"Thu, 13 Jun 2024 22:41:55 +0530",Kerala,Shift Saturday training for higher secondary teachers to other days: FHSTA
Kuwait building fire: Kuwait offers help to repatriate bodies of Indians ,https://www.thehindu.com/news/national/kuwait-building-fire-kuwait-offers-help-to-repatriate-bodies-of-indians/article68286033.ece,"Bodies of 45 Indians, three Filipinos identified; one body still unidentified; Kuwaiti Emir directs financial assistance for kin, military aircraft to help return mortal remains; Foreign Minister says “responsibility will be fixed”","Thu, 13 Jun 2024 22:40:21 +0530",India,"Bodies of 45 Indians, three Filipinos identified; one body still unidentified; Kuwaiti Emir directs financial assistance for kin, military aircraft to help return mortal remains; Foreign Minister says “responsibility will be fixed”"
Veena George dubs denial of political clearance for her Kuwait visit by MEA unfortunate,https://www.thehindu.com/news/national/kerala/veena-george-dubs-denial-of-political-clearance-for-her-kuwait-visit-by-mea-unfortunate/article68286564.ece,,"Thu, 13 Jun 2024 22:34:56 +0530",Kerala,Veena George dubs denial of political clearance for her Kuwait visit by MEA unfortunate
